dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q38368,Ховаварт,Германия,58,минимум,,,,
http://www.wikidata.org/entity/Q38368,Ховаварт,Германия,63,минимум,,,,
http://www.wikidata.org/entity/Q38362,Лопарская оленегонная собака,Финляндия,46,,,,,
http://www.wikidata.org/entity/Q38362,Лопарская оленегонная собака,Финляндия,51,,,,,
http://www.wikidata.org/entity/Q38309,Английский сеттер,Англия,65,максимум,,,,
http://www.wikidata.org/entity/Q38309,Английский сеттер,Англия,68,максимум,,,,
http://www.wikidata.org/entity/Q38309,Английский сеттер,Англия,61,минимум,,,,
http://www.wikidata.org/entity/Q38309,Английский сеттер,Англия,65,минимум,,,,
http://www.wikidata.org/entity/Q38287,джек-рассел-терьер,Великобритания,30,максимум,6,максимум,,
http://www.wikidata.org/entity/Q38287,джек-рассел-терьер,Великобритания,30,максимум,5,минимум,,
http://www.wikidata.org/entity/Q38287,джек-рассел-терьер,Австралия,25,минимум,6,максимум,,
http://www.wikidata.org/entity/Q38287,джек-рассел-терьер,Австралия,25,минимум,5,минимум,,
http://www.wikidata.org/entity/Q38342,Кисю,Япония,49,,,,,
http://www.wikidata.org/entity/Q38342,Кисю,Япония,52,,,,,
http://www.wikidata.org/entity/Q38387,Манчестер терьер,Англия,38,,,,,
http://www.wikidata.org/entity/Q38387,Манчестер терьер,Англия,41,,,,,
http://www.wikidata.org/entity/Q38287,джек-рассел-терьер,Великобритания,25,минимум,6,максимум,,
http://www.wikidata.org/entity/Q38287,джек-рассел-терьер,Великобритания,25,минимум,5,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,максимум,35,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,максимум,45,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,максимум,40,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,максимум,32,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,72,максимум,35,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,72,максимум,45,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,72,максимум,40,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,72,максимум,32,минимум,,
http://www.wikidata.org/entity/Q38255,Итальянский бракк,Италия,62,максимум,40,максимум,,
http://www.wikidata.org/entity/Q38255,Итальянский бракк,Италия,62,максимум,25,минимум,,
http://www.wikidata.org/entity/Q38255,Итальянский бракк,Италия,67,максимум,40,максимум,,
http://www.wikidata.org/entity/Q38255,Итальянский бракк,Италия,67,максимум,25,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,50,максимум,11,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,50,максимум,13,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,50,максимум,10,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,50,максимум,8,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,48,максимум,11,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,48,максимум,13,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,48,максимум,10,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,48,максимум,8,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,25,максимум,5,максимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,25,максимум,6,максимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,25,максимум,4,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,25,максимум,3.5,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,28,максимум,5,максимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,28,максимум,6,максимум,,
