dogBreed,dogBreedLabel,countryLabel,height,heightQualifier,mass,massQualifier,lifeExpectancy,lifeExpectancyQualifier
http://www.wikidata.org/entity/Q38668,Ирландский волкодав,Ирландия,71,http://www.wikidata.org/entity/Q10585806,54.5,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38668,Ирландский волкодав,Ирландия,79,http://www.wikidata.org/entity/Q10585806,54.5,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q21098,Бладхаунд,Бельгия,62,,54,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21098,Бладхаунд,Бельгия,68,,54,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,67,http://www.wikidata.org/entity/Q10585806,52,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,62,http://www.wikidata.org/entity/Q10585806,52,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,73.5,http://www.wikidata.org/entity/Q10578722,52,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,70,http://www.wikidata.org/entity/Q10578722,52,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q21082,Кане-корсо,Италия,58,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21082,Кане-корсо,Италия,62,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21082,Кане-корсо,Италия,66,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21082,Кане-корсо,Италия,70,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,75,,50,http://www.wikidata.org/entity/Q10585806,,
